,Track name,artists,genre
13582,"Side 1,Pt. 2: It's What We Do",Pink Floyd,Rock
2765,Disco Magic,T-Connection,Disco
2050,Chattanoogie Shoe Shine Boy,Red Foley,Country
5511,Minuano (Six Eight),Pat Metheny,Jazz
11491,Fire,Ohio Players,R&B
4656,Beyond The Veil - Live,Daryl Coley,Gospel
14959,May It Be,Enya,World
1396,My Baby's Gone,Sonny Terry and Brownie McGhee,Blues
14201,El Coo Cooi,Voodoo Glow Skulls,SKA
11586,Soothe Me,Sam & Dave,R&B
12567,Look At Me!,XXXTENTACION,Rap
11442,Fantasy,Mariah Carey,R&B
403,All Mine,Portishead,Alt. Rock
288,Starlight,Muse,Alt. Rock
3880,In Spite of Ourselves (feat. Iris DeMent),John Prine,Folk
4736,Hear My Voice,John P. Kee & The New Life Community Choir,Gospel
4891,"I Just Came To Talk With You,Lord",The Rambos,Gospel
7230,Give Me Just A Little More Time,Chairmen of the Board,Pop
1984,The Fightin' Side Of Me,Merle Haggard,Country
6764,Obsession,Animotion,Pop
6973,(WE Ain’t Got) Nothin’ Yet,Blues Magoos,Pop
920,Screamin' And Hollerin' The Blues,Charley Patton,Blues
5937,Valley of the Damned - 2010 Remastered Edition,DragonForce,metalcore
10663,Not Your Savior,No Use For A Name,Punk
11239,"Too Gone,Too Long",En Vogue,R&B
12680,Fire Man,Capleton,Reggae
4569,Soul Vaccination,Tower Of Power,Funk
11181,School Days - 1967 Version,Chuck Berry,R&B
1198,Cold Hearted Woman,Magic Slim,Blues
14256,I Like It,Cardi B,Today
4818,He's Working It Out for You,Shirley Caesar,Gospel
11862,Around The Clock (part II),Wynonie Harris,R&B
6467,How Will I Laugh Tomorrow,Suicidal Tendencies,metalcore
8452,You Don’t Own Me,Lesley Gore,Pop
6545,I Am (I'm Me),Twisted Sister,metalcore
5301,Computer Incantations for World Peace,Jean-Luc Ponty,Jazz
13232,Anthem,Deep Purple,Rock
7668,Sorry Seems To Be The Hardest Word,Elton John,Pop
2706,Make That Move,Shalamar,Disco
4785,Just a Closer Walk with Thee,Mahalia Jackson,Gospel
11134,Before You Accuse Me (Take A Look At Yourself),Bo Diddley,R&B
9644,Cool Jerk,The Capitols,Pop
873,Green Onions,Booker T. & the M.G.'s,Blues
4834,Simply Devoted,Sinach,Gospel
7843,She’s Just My Style,Gary Lewis & The Playboys,Pop
13492,I'll Always Call Your Name - Remastered 2022,Little River Band,Rock
2959,Fade (feat. Zak Waters),Adventure Club,EDM
14832,Electric Rendezvous,Al Di Meola,World
2755,Do I Do,Stevie Wonder,Disco
11501,Pain in My Heart,Otis Redding,R&B
5366,The Windup,Keith Jarrett,Jazz
10454,I Won't Look Back,Dead Boys,Punk
1642,Love Is Like a Butterfly,Dolly Parton,Country
10145,Mickey,Toni Basil,Pop
1978,Southern Rains,Mel Tillis,Country
955,Fishin',Elvin Bishop,Blues
12752,Oh What A Feeling,Gregory Isaacs,Reggae
5596,Without a Song - Remastered,Sonny Rollins,Jazz
14974,Batida diferente,Herbie Mann,World
13332,Still Got the Blues,Eric Clapton,Rock
1694,Hound Dog,Elvis Presley,Country
3690,Cocaine Blues,Dave Van Ronk,Folk
14605,Hype Boy,NewJeans,Today
12963,Can't Come In,The Congos,Reggae
4645,That's My King,CeCe Winans,Gospel
3057,Cinema (feat. Gary Go) - Skrillex Remix,Benny Benassi,EDM
5557,Blues For Ray,Roy Brown,Jazz
10295,Dog Eat Dog - Remastered,Adam & The Ants,Punk
5609,Hot Fun,Stanley Clarke,Jazz
3485,Era (Eptic Remix),RL Grime,EDM
3621,Space Junk,Wolfgang Gartner,EDM
14242,Formation,Beyoncé,Today
4226,Good Heels (feat. Jazmine Sullivan),Anderson .Paak,Funk
2105,Don't Be Stupid (You Know I Love You),Shania Twain,Country
3016,Turn The World Into A Dancefloor (ASOT 1000 Anthem),Armin van Buuren,EDM
9818,Shake Your Body (DOWN To The Ground),The Jacksons,Pop
10363,I Like Fucking,Bikini Kill,Punk
963,Have You Ever Loved A Woman,Freddie King,Blues
9387,The Beat Goes On,Sonny & Cher,Pop
1453,I'm Your Hoochie Coochie Man,Willie Dixon,Blues
12487,Worldwide Choppers,Tech N9ne,Rap
7132,If You Love Me,Brownstone,Pop
580,Clampdown,The Clash,Alt. Rock
14819,Letting Someone Go,Zach Bryan,Today
14594,Wasted On You,Morgan Wallen,Today
5481,I Loves You Porgy,Nina Simone,Jazz
4288,Heartaches and Pain,Charles Bradley,Funk
9074,Your Body’s Callin’,R. Kelly,Pop
4802,I Believe,Marvin Sapp,Gospel
1670,Streets of Bakersfield,Dwight Yoakam,Country
6364,Feel So Numb,Rob Zombie,metalcore
3961,Deep Shady Grove,Mike Seeger,Folk
5043,Waltz For Debby,Cannonball Adderley,Jazz
2608,"Babe,We're Gonna Love Tonight - Jacques Greene Remix",Lime,Disco
11665,Yakety Yak - 2007 Remaster,The Coasters,R&B
4069,Mr. Tambourine Man,The Byrds,Folk
1614,Slow Hand,Conway Twitty,Country
13929,Vietnam - Single Version,Jimmy Cliff,SKA
1763,Golden Ring,George Jones,Country
13778,Success Story,The Who,Rock
14828,Race With Devil On Spanish Highway,Al Di Meola,World
5183,Misty,Ella Fitzgerald,Jazz
9029,I Got A Man,Positive K,Pop
9865,The Boy From New York City,The Manhattan Transfer,Pop
11684,Give Your Baby A Standing Ovation,The Dells,R&B
7587,These Are The Times,Dru Hill,Pop
14029,Trendy,Reel Big Fish,SKA
14532,Water Me,Lizzo,Today
7868,Throwing It All Away,Genesis,Pop
7445,Out Of The Blue,Debbie Gibson,Pop
1207,Me And My Chauffeur Blues,Memphis Minnie,Blues
1733,If Tomorrow Never Comes - Live,Garth Brooks,Country
10690,Redondo Beach,Patti Smith,Punk
9855,You Didn’t Have To Be So Nice,The Lovin’ Spoonful,Pop
11085,I'm Gonna Love You Just A Little More Baby,Barry White,R&B
13017,"Get Up,Stand Up - Live",Ziggy Marley,Reggae
10011,Love Is Here And Now You’re Gone,The Supremes,Pop
2853,I'm Still Missing Your Love,The S.O.S Band,Disco
3964,He's Got the Whole World in His Hands,Odetta,Folk
13955,She's Gonna Break Soon,Less Than Jake,SKA
3878,I Remember Everything,John Prine,Folk
3394,Alone,Marshmello,EDM
3885,Both Sides Now,Joni Mitchell,Folk
12679,Tour,Capleton,Reggae
13949,All My Best Friends Are Metalheads,Less Than Jake,SKA
4209,Pastures Of Plenty,Woody Guthrie,Folk
5076,Tones for Joan's Bones,Chick Corea,Jazz
3686,Waiting For The B Train,Christine Lavin,Folk
3681,A Holly Jolly Christmas,Burl Ives,Folk
14543,Cold As You,Luke Combs,Today
12394,Circles,Post Malone,Rap
2711,Dead Giveaway,Shalamar,Disco
13918,Train To Skaville,Hepcat,SKA
7401,At the Hop,Danny & the Juniors,Pop
9333,Freak Me,Silk,Pop
1879,Sunday Morning Coming Down,Johnny Cash,Country
3344,Wildcard (feat. Sidnie Tipton),KSHMR,EDM
842,Too Tight Blues No. 2,Blind Blake,Blues
11319,Wake Up Everybody (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,R&B
7974,She’s Gone,Hall & Oates,Pop
2299,Do It Good,A Taste Of Honey,Disco
12794,Before I Leave,Jah Cure,Reggae
12692,Good Life,Cocoa Tea,Reggae
5469,"The Sorcerer (feat. Wayne Shorter,Herbie Hancock,Ron Carter & Tony Williams)",Miles Davis,Jazz
6521,My Sarah,Thin Lizzy,metalcore
4880,He Calms Me,The McKameys,Gospel
1099,Help Me,Junior Wells,Blues
6395,Crusader,Saxon,metalcore
984,Numb,Gary Clark Jr.,Blues
9312,For Your Eyes Only,Sheena Easton,Pop
2909,Gonna Get Along Without You,Tina Charles,Disco
9946,Unchained Melody,The Righteous Brothers,Pop
1224,Ain't No Tellin',Mississippi John Hurt,Blues
5581,When The Saints Go Marching In,Sidney Bechet,Jazz
12458,The Purge,ScHoolboy Q,Rap
2640,Mind Up Tonight,Melba Moore,Disco
8815,Calendar Girl,Neil Sedaka,Pop
3870,The Transcendental Waterfall,John Fahey,Folk
5678,Days Of Wine And Roses,Wes Montgomery,Jazz
986,Come Together,Gary Clark Jr.,Blues
7958,"Once Bitten,Twice Shy",Great White,Pop
8192,Handy Man,Jimmy Jones,Pop
12876,Don't Haffi Dread,Morgan Heritage,Reggae
7677,Candle In The Wind,Elton John,Pop
4011,From Clare to here,Ralph McTell,Folk
7972,What Is Love,Haddaway,Pop
1256,Look on Yonder Wall,Pinetop Perkins,Blues
6328,Jet City Woman,Queensryche,metalcore
11779,Baby Love,The Supremes,R&B
13920,Riding The Region,Hepcat,SKA
3459,Bassline Kickin,Pegboard Nerds,EDM
13641,Try a Little Harder,Santana,Rock
12552,"Work Hard,Play Hard",Wiz Khalifa,Rap
9706,Over The Rainbow,the Demensions,Pop
5011,Lotus Blossom - Remastered 1990,Billy Strayhorn,Jazz
1807,Squaws Along The Yukon,Hank Thompson,Country
8641,Torn Between Two Lovers,Mary MacGregor,Pop
6887,Night Fever,Bee Gees,Pop
9798,Little Honda,The Hondells,Pop
3501,Falling Away - Festival Mix (Radio Edit),Seven Lions,EDM
6580,Prime Evil,Venom,metalcore
7593,Is There Something I Should Know?,Duran Duran,Pop
8676,Midnight Blue,Melissa Manchester,Pop
7894,The Ballad Of Bonnie And Clyde,Georgie Fame,Pop
10109,I Don’t Wanna Fight,Tina Turner,Pop
3225,On Top (feat. T-Shirt),Flume,EDM
7189,Shop Around,Captain & Tennille,Pop
12184,Str8 Like Dat,Joyner Lucas,Rap
3713,Pretty Polly,Dock Boggs,Folk
7879,Got My Mind Set On You,George Harrison,Pop
835,Easy - Remastered 2022,Big Walter Horton,Blues
14417,Dirt Road Anthem,Jason Aldean,Today
15069,Bossa 31,Nicola Conte,World
2376,Daddy Cool,Boney M.,Disco
9694,Bits And Pieces,The Dave Clark Five,Pop
14899,Cumbia sobre el río / Interludio,Celso Piña,World
5302,Don't Let the World Pass You By,Jean-Luc Ponty,Jazz
3743,The Shoals of Herring,Ewan MacColl,Folk
1792,The Golden Rocket,Hank Snow,Country
7632,I Love A Rainy Night,Eddie Rabbitt,Pop
8177,You Don’t Mess Around With Jim,Jim Croce,Pop
10021,No Matter What Shape (YOUR Stomach’s In),The T-Bones,Pop
13497,As Long As I'm Alive,Little River Band,Rock
3767,Annabelle,Gillian Welch,Folk
7516,(THEME From) Valley Of The Dolls,Dionne Warwick,Pop
10415,Bubbles,Cockney Rejects,Punk
14139,On my Radio,The Selecter,SKA
9884,Last Train To Clarksville,The Monkees,Pop
6951,With You I’m Born Again,Billy Preston and Syreeta,Pop
391,Debaser,Pixies,Alt. Rock
8357,I’m Your Boogie Man,KC and the Sunshine Band,Pop
12056,Without Me,Eminem,Rap
11610,Family Affair - Single Version,Sly & The Family Stone,R&B
7700,Al Di Là,Emilio Pericoli,Pop
10689,Land: Horses / Land of a Thousand Dances / La Mer(de),Patti Smith,Punk
8256,Nobody Told Me,John Lennon,Pop
10293,Zerøx,Adam & The Ants,Punk
6482,Bounce,System Of A Down,metalcore
544,Change Your Mind,The All-American Rejects,Alt. Rock
11983,Aquarius,Common,Rap
8368,Friend Of Mine,Kelly Price featuring R. Kelly and Ron Isley,Pop
8968,Girlfriend,Pebbles,Pop
2305,Dancing Queen,ABBA,Disco
124,Uncontrollable Urge,DEVO,Alt. Rock
6107,Mirror Mirror,King Diamond,metalcore
6646,Invisible Man,98 Degrees,Pop
3546,Rainforest,Tchami,EDM
6828,All I Have To Give,Backstreet Boys,Pop
14412,Hicktown,Jason Aldean,Today
11354,That's The Way Love Goes,Janet Jackson,R&B
692,Sweet Jane,The Velvet Underground,Alt. Rock
429,"There,There",Radiohead,Alt. Rock
11316,Bad Luck (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,R&B
1335,My Journey To The Sky,Sister Rosetta Tharpe,Blues
4016,San Francisco Bay Blues,Ramblin' Jack Elliott,Folk
6891,Circle In The Sand,Belinda Carlisle,Pop
10892,Stuart,The Dead Milkmen,Punk
4699,Jesus Be a Fence Around Me (Live),Fred Hammond,Gospel
8983,I Go To Pieces,Peter and Gordon,Pop
6901,Boogie Woogie Bugle Boy,Bette Midler,Pop
10289,Groove Thang,Zhané,Pop
8675,I Want To Come Over,Melissa Etheridge,Pop
3649,The Bonny Black Hare,A. L. Lloyd,Folk
1860,I Don't Remember Loving You,John Conlee,Country
3818,Our Town,Iris DeMent,Folk
12275,1-800-273-8255,Logic,Rap
14007,Hard Man Fe Dead,Prince Buster,SKA
6362,Superbeast,Rob Zombie,metalcore
8009,Moon River,Henry Mancini,Pop
1661,It Must Be Love,Don Williams,Country
794,Crosscut Saw - Mono Mix,Albert King,Blues
3706,Sittin On Top Of The World,Doc Watson,Folk
1693,Heartbreak Hotel,Elvis Presley,Country
6460,Vasoline,Stone Temple Pilots,metalcore
11560,Cold Blooded,Rick James,R&B
1425,Done Changed My Way of Living,Taj Mahal,Blues
13222,That Girl,Crosby Sitlls Nash Young,Rock
2606,The Party's Over,Lime,Disco
13277,In the Hall of the Mountain King,Electric Light Orchestra,Rock
1324,You Can't Judge A Book By The Cover,Roy Buchanan,Blues
9398,Cast Your Fate To The Wind,Sounds Orchestral,Pop
3424,End Of The Night,NGHTMRE,EDM
9337,Get Up And Boogie,Silver Convention,Pop
6563,Ain't Talkin' 'Bout Love,Van Halen,metalcore
10169,I Won’t Hold You Back,Toto,Pop
14819,Letting Someone Go,Zach Bryan,Today
3703,Deep River Blues,Doc Watson,Folk
3620,Flexx - Radio Edit,Wolfgang Gartner,EDM
5755,Indians,Anthrax,metalcore
14958,Aníron,Enya,World
4090,A Pub with No Beer,The Dubliners,Folk
9528,Love Will Lead You Back,Taylor Dayne,Pop
11414,Dead End Street,Lou Rawls,R&B
5004,Lady Sings The Blues,Billie Holiday,Jazz
6949,Will It Go Round In Circles,Billy Preston,Pop
1117,I Found Love (When I Found You),Kenny Wayne Shepherd,Blues
10001,"Working My Way Back To You/Forgive Me,Girl",The Spinners,Pop
13920,Riding The Region,Hepcat,SKA
12256,Got Money,Lil Wayne,Rap
13726,Better Days,Supertramp,Rock
2270,Tryin' To Get Over You,Vince Gill,Country
14352,Castle on the Hill,Ed Sheeran,Today
13056,Eat Some More,Alice Cooper,Rock
10772,That's Life,Sham 69,Punk
1735,She's Every Woman - Live,Garth Brooks,Country
14048,Welcome to Hell,Ska-P,SKA
10820,I Saw Your Mommy...,Suicidal Tendencies,Punk
259,Papercut,Linkin Park,Alt. Rock
13980,Wings Of A Dove (A Celebratory Song),Madness,SKA
5726,Feed My Frankenstein,Alice Cooper,metalcore
3056,Paradise - Radio Edit,Benny Benassi,EDM
2804,Shake,The Gap Band,Disco
4487,Whitecap,Snarky Puppy,Funk
12328,One Minute Man (feat. Ludacris),Missy Elliott,Rap
9460,Boogie On Reggae Woman,Stevie Wonder,Pop
13967,She,Mad Caddies,SKA
4990,My Funny Valentine,Bill Evans,Jazz
12483,Motivation,T.I.,Rap
896,Skin Deep (feat. Derek Trucks),Buddy Guy,Blues
11295,Love Overboard,Gladys Knight & The Pips,R&B
13958,Carnival Baby,Lord Kitchener,SKA
6573,Welcome to Hell,Venom,metalcore
712,Icky Thump,The White Stripes,Alt. Rock
2934,Macho Man,Village People,Disco
14461,Tusa,KAROL G,Today
10929,Town Called Malice,The Jam,Punk
122,Jocko Homo,DEVO,Alt. Rock
11567,Mighty Mighty Man,Roy Brown,R&B
11275,"Shake Me,Wake Me (When It's Over)",Four Tops,R&B
8083,You’re Only Lonely,J.D. Souther,Pop
13431,"Three Loves,Three",Jethro Tull,Rock
1616,Ready For The Times To Get Better,Crystal Gayle,Country
3698,Stack-O-Lee,Dave Van Ronk,Folk
997,Who Do You Love?,George Thorogood & The Destroyers,Blues
10614,Over the Rainbow,Me First and the Gimme Gimmes,Punk
7310,Precious And Few,Climax,Pop
9043,Thieves In The Temple,Prince,Pop
12866,Heads Of Government,Mighty Diamonds,Reggae
8884,Cool Love,Pablo Cruise,Pop
14410,Love Yourz,J. Cole,Today
11592,When Something Is Wrong with My Baby,Sam & Dave,R&B
11467,I Can Love You,Mary J. Blige,R&B
2581,Let's go Somewhere and Make Love,Jackie Moore,Disco
4731,You're Bigger,Jekalyn Carr,Gospel
2587,Hot Pants (She Got To Use What She Got To Get What She Wants),James Brown,Disco
10933,Dirty Old Town,The Pogues,Punk
2039,Little Rock,Reba McEntire,Country
7010,Beyond The Sea,Bobby Darin,Pop
2086,Night Train to Memphis,Roy Acuff,Country
14942,Balada o Pisonji I Zugi-live,Dr Nele Karajlic,World
11981,I Used to Love H.E.R.,Common,Rap
2370,Bohannon's Beat (Part 1) - Single Version - Bonus Track,Bohannon,Disco
15045,Mala Vida,Mano Negra,World
7932,Turn The Beat Around,Gloria Estefan,Pop
8365,Nobody,Keith Sweat,Pop
8903,Hey Paula,Paul & Paula,Pop
13683,A Girl I Knew,Steppenwolf,Rock
2084,Wabash Cannonball,Roy Acuff,Country
4285,Super Sporm,Captain Sky,Funk
1390,"Hootin' the Blues - February 21,1973 Ash Grove,Hollywood CA",Sonny Terry,Blues
7083,Lido Shuffle,Boz Scaggs,Pop
1107,You Can Love Yourself,Keb' Mo',Blues
2511,I Found Lovin',Fatback Band,Disco
12060,No Love,Eminem,Rap
13373,Abacab,Genesis,Rock
12962,Ark Of Covenant,The Congos,Reggae
117,Enjoy the Silence,Depeche Mode,Alt. Rock
3963,Cotton Fields,Odetta,Folk
2348,"Never,Never Gonna Give Ya Up",Barry White,Disco
972,Woman Across The River,Freddie King,Blues
1415,Bobby Sox Blues,T-Bone Walker,Blues
14312,Memories (feat. Kid Cudi),David Guetta,Today
13314,"Paper Blood (LIVE - April 5,1993)",Emerson Lake & Palmer,Rock
2773,She's Gone,Tavares,Disco
15142,Courage,Vieux Farka Touré,World
14730,The Heart Wants What It Wants,Selena Gomez,Today
2354,How Deep Is Your Love,Bee Gees,Disco
5604,Corcovado (Quiet Nights Of Quiet Stars) - Single Version,Stan Getz,Jazz
13321,Early In The Morning,Eric Clapton,Rock
12181,Isis (feat. Logic),Joyner Lucas,Rap
2698,Once You Get Started,Rufus,Disco
9793,On A Carousel,The Hollies,Pop
8130,Come Back To Me,Janet Jackson,Pop
6892,I Get Weak,Belinda Carlisle,Pop
13079,Riverside,America,Rock
59,End of a Century - 2012 Remaster,Blur,Alt. Rock
3186,Beyond the Fire,Don Diablo,EDM
15023,Go Do,Jónsi,World
11124,The Same Love That Made Me Laugh,Bill Withers,R&B
12371,Got Your Money (feat. Kelis),Ol' Dirty Bastard,Rap
8019,Wonderful World,Herman’s Hermits,Pop
8649,What You Want,Mase featuring Total,Pop
11114,Cherry Red,Big Joe Turner,R&B
13088,Whisper Whisper,Bee Gees,Rock
14848,Kan ati fettun isani infedhani,Ali Mohammed Birra,World
11268,I Want To Walk You Home,Fats Domino,R&B
3629,Till It Hurts,Yellow Claw,EDM
5729,Under My Wheels - Live in Columbus,Alice Cooper,metalcore
236,New Dawn Fades - 2007 Remaster,Joy Division,Alt. Rock
13873,Forward March (with The Beverley's All-Stars),Derrick Morgan,SKA
8118,Dead Man’s Curve,Jan and Dean,Pop
6212,Badlands,Metal Church,metalcore
15029,There's A Guy Works Down The Chip Shop Swears He's Elvis,Kirsty MacColl,World
12283,What's Your Fantasy (Featuring Shawna),Ludacris,Rap
8621,Hearts,Marty Balin,Pop
7721,Tears In Heaven,Eric Clapton,Pop
9342,The Boxer,Simon & Garfunkel,Pop
13483,The Song Remains the Same - Remaster,Led Zeppelin,Rock
5692,Minor Mood,Yusef Lateef,Jazz
2074,Daydreams About Night Things,Ronnie Milsap,Country
4110,The Road Goes On Forever,The Highwaymen,Folk
5857,Make Them Suffer,Cannibal Corpse,metalcore
1719,Goin' Steady,Faron Young,Country
2540,The Visitors (Original),Gino Soccio,Disco
5513,Last Train Home,Pat Metheny,Jazz
12981,Love Won't Come Easy,The Heptones,Reggae
7757,Ain't That a Shame,Fats Domino,Pop
5364,Staircase Part 3,Keith Jarrett,Jazz
3051,You & Me (feat. W. Darling),Bassnectar,EDM
4537,"For the Love of You,Pts. 1 & 2",The Isley Brothers,Funk
14631,Dial Drunk (with Post Malone),Noah Kahan,Today
